Gmt time,Open,High,Low,Close,Volume
05.03.2020 04:00:00.000,1639.445,1640.068,1638.578,1639.648,2146689.8918
05.03.2020 05:00:00.000,1639.648,1640.705,1638.418,1638.455,3005959.9876
05.03.2020 06:00:00.000,1638.455,1641.778,1637.618,1641.685,3500930.0709
05.03.2020 07:00:00.000,1641.685,1642.738,1637.078,1637.345,6007540.226
05.03.2020 08:00:00.000,1637.398,1641.085,1637.108,1639.955,7158969.8792
05.03.2020 09:00:00.000,1639.955,1644.798,1639.655,1643.965,6502069.9501
05.03.2020 10:00:00.000,1643.968,1648.668,1643.778,1647.165,6727869.9875
05.03.2020 11:00:00.000,1647.165,1648.598,1645.248,1647.785,5633580.2078
05.03.2020 12:00:00.000,1647.788,1654.368,1645.918,1652.458,6062190.0558
05.03.2020 13:00:00.000,1652.455,1656.458,1651.035,1654.978,9182789.8026
05.03.2020 14:00:00.000,1654.968,1662.528,1654.278,1658.328,12416669.8456
05.03.2020 15:00:00.000,1658.368,1660.658,1655.278,1659.938,12934700.0122
05.03.2020 16:00:00.000,1659.928,1663.718,1657.568,1661.988,10705539.7034
05.03.2020 17:00:00.000,1661.998,1667.285,1660.298,1666.958,8885140.419
05.03.2020 18:00:00.000,1666.978,1668.798,1664.988,1667.605,9109180.4504
05.03.2020 19:00:00.000,1667.608,1672.048,1667.005,1671.638,8692330.3604
05.03.2020 20:00:00.000,1671.675,1674.498,1670.538,1673.188,8670100.2121
05.03.2020 21:00:00.000,1673.228,1673.818,1668.508,1671.928,2380455.0171
05.03.2020 22:00:00.000,1671.928,1671.928,1671.928,1671.928,0
05.03.2020 23:00:00.000,1672.348,1674.838,1669.808,1674.498,2071650.0282
06.03.2020 00:00:00.000,1674.518,1676.475,1671.658,1674.088,4010630.1308
06.03.2020 01:00:00.000,1674.105,1674.978,1667.498,1670.558,7196599.9603
06.03.2020 02:00:00.000,1670.578,1672.438,1668.165,1670.435,6244420.0516
06.03.2020 03:00:00.000,1670.455,1671.618,1667.535,1668.915,3942579.9847
06.03.2020 04:00:00.000,1668.915,1679.158,1668.545,1678.358,4029339.7903
06.03.2020 05:00:00.000,1678.315,1680.968,1676.775,1679.758,4202670.0974
06.03.2020 06:00:00.000,1679.738,1680.258,1669.098,1674.198,6405499.9352
06.03.2020 07:00:00.000,1674.198,1674.238,1667.768,1672.128,6666261.1961
06.03.2020 08:00:00.000,1672.138,1679.218,1670.808,1677.948,10495220.1843
06.03.2020 09:00:00.000,1677.998,1685.898,1676.388,1684.338,10050900.4593
06.03.2020 10:00:00.000,1684.328,1689.878,1681.288,1682.118,12366640.0909
06.03.2020 11:00:00.000,1682.108,1688.618,1681.408,1686.035,8836099.6246
06.03.2020 12:00:00.000,1686.035,1688.328,1683.768,1687.855,8969010.3531
06.03.2020 13:00:00.000,1687.895,1689.498,1668.510,1673.435,10016560.5545
06.03.2020 14:00:00.000,1673.505,1687.138,1672.925,1684.568,14783109.6649
06.03.2020 15:00:00.000,1684.558,1686.248,1642.128,1663.908,14428709.9838
06.03.2020 16:00:00.000,1663.898,1671.328,1658.098,1663.313,10946700.0961
06.03.2020 17:00:00.000,1663.308,1669.388,1660.255,1665.698,7259627.8191
06.03.2020 18:00:00.000,1665.718,1673.868,1662.065,1672.208,9071009.6359
06.03.2020 19:00:00.000,1672.208,1687.293,1671.398,1686.678,7829800.1289
06.03.2020 20:00:00.000,1686.658,1692.088,1665.925,1673.905,7548049.9268
06.03.2020 21:00:00.000,1673.835,1675.918,1671.418,1673.548,1332115.0541
06.03.2020 22:00:00.000,1673.548,1673.548,1673.548,1673.548,0
06.03.2020 23:00:00.000,1673.548,1673.548,1673.548,1673.548,0
07.03.2020 00:00:00.000,1673.548,1673.548,1673.548,1673.548,0
07.03.2020 01:00:00.000,1673.548,1673.548,1673.548,1673.548,0
07.03.2020 02:00:00.000,1673.548,1673.548,1673.548,1673.548,0
07.03.2020 03:00:00.000,1673.548,1673.548,1673.548,1673.548,0
07.03.2020 04:00:00.000,1673.548,1673.548,1673.548,1673.548,0
07.03.2020 05:00:00.000,1673.548,1673.548,1673.548,1673.548,0
07.03.2020 06:00:00.000,1673.548,1673.548,1673.548,1673.548,0
07.03.2020 07:00:00.000,1673.548,1673.548,1673.548,1673.548,0
07.03.2020 08:00:00.000,1673.548,1673.548,1673.548,1673.548,0
07.03.2020 09:00:00.000,1673.548,1673.548,1673.548,1673.548,0
07.03.2020 10:00:00.000,1673.548,1673.548,1673.548,1673.548,0
07.03.2020 11:00:00.000,1673.548,1673.548,1673.548,1673.548,0
